Frame,Force_N,Mag_Pixels,Timestamp
1,,284.6943,1779893286.6607
2,,284.647,1779893286.6931
3,,284.7017,1779893286.7249
4,,284.7663,1779893286.7588
5,,284.7775,1779893286.791
6,,284.8866,1779893286.8218
7,,285.0628,1779893286.8586
8,,285.0563,1779893286.8904
9,,285.0809,1779893286.9225
10,,285.2906,1779893286.9615
11,,285.2135,1779893286.9919
12,,285.3262,1779893287.0228
13,,285.4043,1779893287.0601
14,,285.4135,1779893287.0906
15,,285.4665,1779893287.1234
16,,285.6385,1779893287.1598
17,,285.6701,1779893287.1905
18,,285.6594,1779893287.2214
19,,285.8393,1779893287.2607
20,,285.8238,1779893287.2916
21,,285.8344,1779893287.3245
22,,285.9778,1779893287.3604
23,,286.0027,1779893287.3921
24,,286.033,1779893287.4237
25,,286.2243,1779893287.4597
26,,286.2275,1779893287.4908
27,,286.2842,1779893287.5234
28,,286.3795,1779893287.5589
29,,286.3994,1779893287.5914
30,,286.4221,1779893287.6239
31,,286.5672,1779893287.6595
32,,286.5924,1779893287.6906
33,,286.6383,1779893287.7238
34,,286.7582,1779893287.7602
35,,286.744,1779893287.7911
36,,286.7305,1779893287.8239
37,,286.7708,1779893287.86
38,,286.7689,1779893287.891
39,,286.7898,1779893287.923
40,,286.7611,1779893287.9605
41,,286.8048,1779893287.9919
42,,286.7803,1779893288.0241
43,,286.8096,1779893288.0604
44,,286.7968,1779893288.0907
45,,286.8076,1779893288.1227
46,,286.7962,1779893288.1593
47,,286.8402,1779893288.1911
48,,286.8021,1779893288.2229
49,,286.778,1779893288.2607
50,,286.8078,1779893288.2937
51,,286.8091,1779893288.3219
52,,286.8149,1779893288.3581
53,,286.8328,1779893288.3895
54,,286.7725,1779893288.4233
55,,286.8307,1779893288.4597
56,,286.7951,1779893288.4912
57,,286.8382,1779893288.5233
58,,286.7782,1779893288.5602
59,,286.8039,1779893288.5922
60,,286.7858,1779893288.6245
61,,286.827,1779893288.6602
62,,286.819,1779893288.6915
63,,286.7901,1779893288.7215
64,,286.8076,1779893288.7603
65,,286.8346,1779893288.7914
66,,286.831,1779893288.8229
67,,286.8045,1779893288.859
68,,286.8101,1779893288.8895
69,,286.7917,1779893288.9216
70,,286.8259,1779893288.9578
71,,286.8406,1779893288.9898
72,,286.8125,1779893289.0217
73,,286.8103,1779893289.0577
74,,286.8123,1779893289.0901
75,,286.8365,1779893289.1216
76,,286.8113,1779893289.1577
77,,286.8064,1779893289.1897
78,,286.7998,1779893289.2217
79,,286.737,1779893289.2577
80,,286.7042,1779893289.2894
81,,286.6679,1779893289.3216
82,,286.5653,1779893289.3578
83,,286.6003,1779893289.3898
84,,286.5096,1779893289.4219
85,,286.4346,1779893289.4573
86,,286.3632,1779893289.4898
87,,286.4806,1779893289.5215
88,,286.5932,1779893289.5574
89,,286.6121,1779893289.5896
90,,286.66,1779893289.6215
91,,286.7487,1779893289.6575
92,,286.7491,1779893289.6896
93,,286.7737,1779893289.7216
94,,286.7996,1779893289.7577
95,,286.8098,1779893289.7903
96,,286.8277,1779893289.8214
97,,286.8533,1779893289.8593
98,,286.8511,1779893289.8906
99,,286.8359,1779893289.9222
100,,286.829,1779893289.9586
101,,286.8913,1779893289.99
102,,286.8308,1779893290.0218
103,,286.8321,1779893290.0579
104,,286.8592,1779893290.0901
105,,286.8743,1779893290.1219
106,,286.8312,1779893290.1578
107,,286.8188,1779893290.1892
108,,286.8779,1779893290.2212
109,,286.8756,1779893290.2574
110,,286.8837,1779893290.2893
111,,286.8254,1779893290.3215
112,,286.8561,1779893290.3575
113,,286.8556,1779893290.3901
114,,286.8319,1779893290.4218
115,,286.8535,1779893290.4578
116,,286.881,1779893290.4899
117,,286.8447,1779893290.5214
118,,286.8874,1779893290.5575
119,,286.8336,1779893290.5893
120,,286.842,1779893290.6213
121,,286.8516,1779893290.6574
122,,286.8124,1779893290.6897
123,,286.8362,1779893290.7214
124,,286.8743,1779893290.7576
125,,286.8364,1779893290.7894
126,,286.8543,1779893290.8219
127,,286.8602,1779893290.8574
128,,286.8475,1779893290.8893
129,,286.8433,1779893290.9219
130,,286.8428,1779893290.9575
131,,286.837,1779893290.9894
132,,286.8422,1779893291.0217
133,,286.832,1779893291.0576
134,,286.862,1779893291.0895
135,,286.8799,1779893291.1214
136,,286.8196,1779893291.158
137,,286.8736,1779893291.1896
138,,286.8421,1779893291.2222
139,,286.821,1779893291.2577
140,,286.8755,1779893291.2911
141,,286.8269,1779893291.3214
142,,286.8241,1779893291.3578
143,,286.8374,1779893291.3894
144,,286.8766,1779893291.4217
145,,286.9098,1779893291.4581
146,,286.9263,1779893291.4899
147,,286.8831,1779893291.5219
148,,286.9051,1779893291.5577
149,,286.9311,1779893291.5896
150,,286.844,1779893291.6217
151,,286.9122,1779893291.6574
152,,286.9268,1779893291.6893
153,,286.856,1779893291.7217
154,,286.8767,1779893291.7583
155,,287.0201,1779893291.7894
156,,287.5749,1779893291.8213
157,,287.9011,1779893291.8577
158,,287.741,1779893291.8895
159,,287.3763,1779893291.9215
160,,287.0765,1779893291.9538
161,,287.012,1779893291.9909
162,,286.9835,1779893292.0219
163,,287.4154,1779893292.0539
164,,288.3504,1779893292.0894
165,,288.9782,1779893292.122
166,,289.9216,1779893292.1545
167,,292.441,1779893292.1917
168,,295.1052,1779893292.2222
169,,296.2032,1779893292.2534
170,,294.5783,1779893292.2914
171,,290.9226,1779893292.3237
172,,288.7001,1779893292.3547
173,,288.2067,1779893292.39
174,,287.8854,1779893292.4219
175,,288.047,1779893292.4537
176,,292.5215,1779893292.4905
177,,300.8304,1779893292.5213
178,,304.7379,1779893292.5533
179,,300.1207,1779893292.5897
180,,292.6522,1779893292.6219
181,,289.6882,1779893292.6533
182,,289.6471,1779893292.6893
183,,298.2695,1779893292.7219
184,,313.6366,1779893292.7533
185,,314.7826,1779893292.7893
186,,301.2249,1779893292.8213
187,,292.4532,1779893292.8533
188,,290.7822,1779893292.8895
189,,295.1953,1779893292.9213
190,,309.782,1779893292.9536
191,,312.3236,1779893292.9895
192,,302.1958,1779893293.0212
193,,293.2885,1779893293.0534
194,,292.2973,1779893293.0898
195,,302.8629,1779893293.1214
196,,310.9908,1779893293.1545
197,,301.9571,1779893293.1897
198,,292.6527,1779893293.2212
199,,290.9984,1779893293.2543
200,,290.1084,1779893293.2897
201,,289.7793,1779893293.3217
202,,289.4863,1779893293.3534
203,,289.1691,1779893293.3895
204,,288.8185,1779893293.4216
205,,288.6852,1779893293.4534
206,,288.5284,1779893293.4894
207,,288.3184,1779893293.5218
208,,288.2164,1779893293.5533
209,,288.1939,1779893293.5896
210,,288.1149,1779893293.6223
211,,288.0501,1779893293.6533
212,,288.0583,1779893293.6896
213,,287.9593,1779893293.7216
214,,287.952,1779893293.7534
215,,287.8948,1779893293.7895
216,,287.846,1779893293.8213
217,,287.7903,1779893293.8535
218,,287.7405,1779893293.8893
219,,287.7069,1779893293.9213
220,,287.6819,1779893293.9545
221,,287.662,1779893293.9897
222,,287.6464,1779893294.0219
223,,287.6016,1779893294.0536
224,,287.5197,1779893294.0899
225,,287.53,1779893294.1223
226,,287.3355,1779893294.1533
227,,287.3747,1779893294.19
228,,287.2782,1779893294.2213
229,,287.1086,1779893294.2533
230,,287.0671,1779893294.2902
231,,287.0326,1779893294.3213
232,,286.8515,1779893294.3537
233,,286.807,1779893294.3898
234,,286.8576,1779893294.4217
235,,286.9866,1779893294.4536
236,,286.9552,1779893294.4908
237,,287.019,1779893294.5236
238,,287.2438,1779893294.5534
239,,287.2255,1779893294.5895
240,,287.2539,1779893294.6213
241,,287.3724,1779893294.6534
242,,287.351,1779893294.6897
243,,287.383,1779893294.7227
244,,287.3977,1779893294.7534
245,,287.3959,1779893294.7904
246,,287.4082,1779893294.823
247,,287.4083,1779893294.8534
248,,287.4196,1779893294.8894
249,,287.3931,1779893294.9212
250,,287.4077,1779893294.9546
251,,287.3933,1779893294.992
252,,287.3649,1779893295.0222
253,,287.3916,1779893295.0557
254,,287.3472,1779893295.0894
255,,287.355,1779893295.1217
256,,287.3849,1779893295.1533
257,,287.3182,1779893295.1897
258,,287.3178,1779893295.2215
259,,287.36,1779893295.2532
260,,287.3821,1779893295.2894
261,,287.3462,1779893295.3215
262,,287.2595,1779893295.3534
263,,287.2737,1779893295.3893
264,,287.2551,1779893295.4218
265,,287.2636,1779893295.4538
266,,287.2875,1779893295.4893
267,,287.2748,1779893295.5221
268,,287.3294,1779893295.5531
269,,287.2834,1779893295.5892
270,,287.3089,1779893295.6211
271,,287.2632,1779893295.6532
272,,287.2981,1779893295.6894
273,,287.2983,1779893295.7213
274,,287.2929,1779893295.7536
275,,287.33,1779893295.7898
276,,287.2645,1779893295.8212
277,,287.2947,1779893295.8539
278,,287.2421,1779893295.8893
279,,287.2634,1779893295.9227
280,,287.2574,1779893295.9534
281,,287.2836,1779893295.9895
282,,287.2587,1779893296.0213
283,,287.2445,1779893296.0539
284,,287.2508,1779893296.0901
285,,287.2613,1779893296.1218
286,,287.2618,1779893296.1535
287,,287.2581,1779893296.1894
288,,287.2783,1779893296.2213
289,,287.2842,1779893296.2533
290,,287.2674,1779893296.2894
291,,287.2645,1779893296.3227
292,,287.2526,1779893296.3533
293,,287.2418,1779893296.3896
294,,287.313,1779893296.4212
295,,287.2701,1779893296.4537
296,,287.2242,1779893296.4901
297,,287.2249,1779893296.5217
298,,287.2776,1779893296.5537
299,,287.2148,1779893296.5898
300,,287.227,1779893296.6222
301,,287.2555,1779893296.6544
302,,287.2303,1779893296.6909
303,,287.2271,1779893296.7212
304,,287.2392,1779893296.7538
305,,287.2254,1779893296.7893
306,,287.2671,1779893296.8212
307,,287.2818,1779893296.8542
308,,287.302,1779893296.8892
309,,287.295,1779893296.9214
310,,287.2972,1779893296.9533
311,,287.2699,1779893296.9897
312,,287.2425,1779893297.0213
313,,287.2176,1779893297.0533
314,,287.1916,1779893297.0896
315,,287.2199,1779893297.1213
316,,287.2088,1779893297.1537
317,,287.225,1779893297.19
318,,287.1913,1779893297.2212
319,,287.0885,1779893297.2533
320,,287.1231,1779893297.2856
321,,287.0872,1779893297.3227
322,,286.9569,1779893297.3546
323,,286.9356,1779893297.3853
324,,286.865,1779893297.422
325,,286.7347,1779893297.4536
326,,286.7215,1779893297.4865
327,,286.805,1779893297.5212
328,,286.9871,1779893297.5532
329,,287.0265,1779893297.5866
330,,287.0353,1779893297.6212
331,,287.1201,1779893297.6535
332,,287.1413,1779893297.6856
333,,287.1272,1779893297.7214
334,,287.1524,1779893297.7534
335,,287.1977,1779893297.7852
336,,287.1614,1779893297.8224
337,,287.2165,1779893297.8553
338,,287.2145,1779893297.8859
339,,287.238,1779893297.9215
340,,287.2564,1779893297.9533
341,,287.2562,1779893297.9859
342,,287.2299,1779893298.0216
343,,287.2574,1779893298.0531
344,,287.246,1779893298.0862
345,,287.2545,1779893298.1212
346,,287.2689,1779893298.1532
347,,287.217,1779893298.1851
348,,287.2127,1779893298.2213
349,,287.2313,1779893298.2532
350,,287.1995,1779893298.2855
351,,287.1641,1779893298.3222
352,,287.2222,1779893298.3542
353,,287.2295,1779893298.3864
354,,287.1919,1779893298.4213
355,,287.2314,1779893298.4532
356,,287.1917,1779893298.4862
357,,287.2049,1779893298.5214
358,,287.1951,1779893298.5536
359,,287.1897,1779893298.5857
360,,287.1874,1779893298.6217
361,,287.2047,1779893298.6534
362,,287.2044,1779893298.6854
363,,287.2143,1779893298.7218
364,,287.1968,1779893298.7532
365,,287.2414,1779893298.7876
366,,287.1854,1779893298.8226
367,,287.2136,1779893298.8549
368,,287.2046,1779893298.887
369,,287.2164,1779893298.9228
370,,287.2401,1779893298.9552
371,,287.2097,1779893298.9873
372,,287.2271,1779893299.0235
373,,287.2007,1779893299.0553
374,,287.2073,1779893299.0864
375,,287.1648,1779893299.123
376,,287.1578,1779893299.1549
377,,287.1458,1779893299.1879
378,,287.1305,1779893299.2231
379,,286.9675,1779893299.2548
380,,286.9943,1779893299.2874
381,,286.9322,1779893299.3232
382,,286.7505,1779893299.3552
383,,286.7656,1779893299.3875
384,,286.7284,1779893299.4229
385,,286.7338,1779893299.4546
386,,286.6127,1779893299.4879
387,,286.5623,1779893299.5229
388,,286.6448,1779893299.5546
389,,286.7713,1779893299.5868
390,,286.7904,1779893299.6225
391,,286.9876,1779893299.6547
392,,286.965,1779893299.6875
393,,287.0008,1779893299.723
394,,287.1199,1779893299.755
395,,287.156,1779893299.7872
396,,287.116,1779893299.8229
397,,287.1961,1779893299.8552
398,,287.1623,1779893299.8878
399,,287.2339,1779893299.9233
400,,287.2151,1779893299.955
401,,287.1564,1779893299.9874
402,,287.1758,1779893300.0223
403,,287.2367,1779893300.0551
404,,287.2411,1779893300.0874
405,,287.1283,1779893300.1231
406,,287.2178,1779893300.1551
407,,287.2337,1779893300.1877
408,,287.1668,1779893300.2229
409,,287.1823,1779893300.2551
410,,287.2114,1779893300.2878
411,,287.1613,1779893300.3234
412,,287.14,1779893300.3546
413,,287.2009,1779893300.3874
414,,287.1857,1779893300.423
415,,287.2052,1779893300.4552
416,,287.213,1779893300.4872
417,,287.2018,1779893300.5231
418,,287.2084,1779893300.555
419,,287.1825,1779893300.5878
420,,287.1889,1779893300.6228
421,,287.2252,1779893300.6549
422,,287.1351,1779893300.6871
423,,287.1987,1779893300.7231
424,,287.2109,1779893300.7549
425,,287.2184,1779893300.7874
426,,287.2184,1779893300.8231
427,,287.1985,1779893300.8549
428,,287.2265,1779893300.8885
429,,287.2159,1779893300.9234
430,,287.1984,1779893300.9551
431,,287.1819,1779893300.9874
432,,287.1642,1779893301.0215
433,,287.1675,1779893301.056
434,,287.1742,1779893301.088
435,,287.1967,1779893301.1229
436,,287.1731,1779893301.1556
437,,287.1968,1779893301.1882
438,,287.1711,1779893301.223
439,,287.2311,1779893301.2544
440,,287.1739,1779893301.2881
441,,287.2055,1779893301.3242
442,,287.2039,1779893301.3548
443,,287.1956,1779893301.3879
444,,287.2236,1779893301.4235
445,,287.1962,1779893301.4553
446,,287.1951,1779893301.4874
447,,287.209,1779893301.5242
448,,287.1695,1779893301.5558
449,,287.1942,1779893301.5862
450,,287.2156,1779893301.6232
451,,287.2034,1779893301.6564
452,,287.2303,1779893301.6869
453,,287.2076,1779893301.724
454,,287.171,1779893301.7556
455,,287.1554,1779893301.7878
456,,287.1835,1779893301.8239
457,,287.199,1779893301.8547
458,,287.2504,1779893301.8872
459,,287.238,1779893301.923
460,,287.2492,1779893301.9555
461,,287.2352,1779893301.9878
462,,287.2306,1779893302.0238
463,,287.1539,1779893302.0561
464,,287.1835,1779893302.088
465,,287.1276,1779893302.1233
466,,287.1535,1779893302.1547
467,,287.1305,1779893302.1871
468,,287.1449,1779893302.2231
469,,287.0908,1779893302.2553
